conf_bin,n,mean_conf,mean_fidelity,mean_stab_punct,mean_stab_stop
"(0.5936100000000001, 0.99815]",20,0.9637414515018463,0.4947735780471703,0.63,0.5700000000000001
"(0.99815, 0.99853]",20,0.9983810216188431,0.6237022788656759,0.5900000000000001,0.49000000000000005
"(0.99853, 0.99874]",20,0.9986183136701584,0.5583437113367836,0.55,0.45999999999999996
"(0.99874, 0.99895]",20,0.9988645315170288,0.5037607131322147,0.53,0.5
"(0.99895, 0.99902]",20,0.9989934355020523,0.4471645286306739,0.5599999999999999,0.38
"(0.99902, 0.99905]",20,0.9990349143743515,0.6982052344275871,0.6,0.36
"(0.99905, 0.9991]",20,0.9990776062011719,0.24960204751114362,0.53,0.35
"(0.9991, 0.99916]",20,0.9991370767354966,6.470382213591888e-05,0.53,0.35
"(0.99916, 0.99919]",20,0.9991747736930847,7.463991641998042e-05,0.63,0.22000000000000003
"(0.99919, 0.99926]",20,0.999208852648735,0.00011872947216032743,0.51,0.31
