idx,orig_label,fidelity_drop,confidence,stability_no_stopwords,stability_no_punct,topk_overlap,xai_change,label_flip,robust_expl,fidelity_norm,stability_norm,agreement_norm,robustness_norm,ERS
0,positive,0.9558942914009094,0.9989896416664124,0.4,0.4,0.25,0.6,0,0.4,0.957570346457697,0.4987531172069836,0.285306704707561,0.4987531172069836,0.5600958213948063
1,positive,0.9984879366238602,0.9990133047103882,0.6,0.6,0.75,0.4,0,0.6,0.9998873505574648,0.7481296758104754,0.855920114122683,0.7481296758104754,0.8380167040752746
2,neutral,-2.4139881134033203e-05,0.9991549253463744,0.4,0.8,0.0,0.6,0,0.4,0.007860502093182443,0.4987531172069836,0.0,0.4987531172069836,0.2513416841267874
3,positive,0.9921286273747684,0.9986405968666076,0.6,0.6,0.375,0.4,0,0.6,0.9935693443347783,0.7481296758104754,0.4279600570613415,0.7481296758104754,0.7294471882542677
4,neutral,7.808208465576172e-06,0.999212384223938,0.0,0.6,0.375,1.0,0,0.0,0.007892242683392316,0.0,0.4279600570613415,0.0,0.10896307493618346
5,neutral,3.17692756652832e-05,0.9991772770881652,0.0,0.8,0.25,1.0,0,0.0,0.007916048126049721,0.0,0.285306704707561,0.0,0.07330568820840268
6,positive,0.9984204977517948,0.998843789100647,0.4,0.6,0.5,0.6,0,0.4,0.9998203496935862,0.4987531172069836,0.570613409415122,0.4987531172069836,0.6419849983806688
7,neutral,0.0001125931739807,0.9991564750671388,0.0,0.8,0.375,1.0,0,0.0,0.007996347081879166,0.0,0.4279600570613415,0.0,0.10898910103580517
8,neutral,-7.849931716918945e-05,0.999030590057373,0.2,0.6,0.375,0.8,0,0.19999999999999996,0.007806495715810419,0.2493765586034918,0.4279600570613415,0.24937655860349175,0.23362991749603385
9,neutral,0.0005802512168884,0.9992165565490724,0.4,0.4,0.375,0.6,0,0.4,0.008460967736331891,0.4987531172069836,0.4279600570613415,0.4987531172069836,0.3584818148029102
10,neutral,-6.973743438720703e-05,0.9991484880447388,0.4,0.6,0.75,0.6,0,0.4,0.007815200691110516,0.4987531172069836,0.855920114122683,0.4987531172069836,0.4653103873069402
11,neutral,2.7000904083251953e-05,0.9989891648292542,0.0,0.4,0.5,1.0,0,0.0,0.00791131072452586,0.0,0.570613409415122,0.0,0.14463118003491196
12,neutral,-3.11732292175293e-05,0.9991833567619324,0.2,0.6,0.375,0.8,0,0.19999999999999996,0.007853514425934746,0.2493765586034918,0.4279600570613415,0.24937655860349175,0.23364167217356496
13,neutral,-3.904104232788086e-05,0.9991886019706726,0.0,0.8,0.5,1.0,0,0.0,0.007845697713420375,0.0,0.570613409415122,0.0,0.14461477678213558
14,neutral,2.6106834411621097e-05,0.9992000460624696,0.4,0.4,0.125,0.6,0,0.4,0.007910422461740136,0.4987531172069836,0.1426533523537805,0.4987531172069836,0.287017502307372
15,positive,0.0003914237022399,0.9984782338142396,0.6,0.8,0.5,0.4,0,0.6,0.008273366635986903,0.7481296758104754,0.570613409415122,0.7481296758104754,0.5187865319180149
16,neutral,-9.757280349731444e-05,0.9991303086280824,0.4,0.4,0.375,0.6,0,0.4,0.007787546109714973,0.4987531172069836,0.4279600570613415,0.4987531172069836,0.3583134593962559
17,neutral,-0.0007417798042297,0.9984095692634584,0.4,0.6,0.375,0.6,0,0.4,0.007147523163841288,0.4987531172069836,0.4279600570613415,0.4987531172069836,0.3581534536597875
18,neutral,2.0682811737060547e-05,0.999182403087616,0.2,0.4,0.125,0.8,0,0.19999999999999996,0.007905033667506743,0.2493765586034918,0.1426533523537805,0.24937655860349175,0.1623278758070677
19,neutral,2.771615982055664e-05,0.9992215633392334,0.2,0.4,0.375,0.8,0,0.19999999999999996,0.00791202133475444,0.2493765586034918,0.4279600570613415,0.24937655860349175,0.2336562989007699
20,positive,0.9885650407522916,0.9989222288131714,0.4,0.6,0.375,0.6,0,0.4,0.990028902822344,0.4987531172069836,0.4279600570613415,0.4987531172069836,0.6038737985744131
21,neutral,-0.0002076029777526,0.9986116886138916,0.4,0.6,0.375,0.6,0,0.4,0.007678230569551948,0.4987531172069836,0.4279600570613415,0.4987531172069836,0.35828613051121516
22,negative,0.997651891433634,0.9986518025398254,0.2,0.2,0.5,0.8,0,0.19999999999999996,0.9990567353904087,0.2493765586034918,0.570613409415122,0.24937655860349175,0.5171058155031285
23,positive,0.9983020975487308,0.999010682106018,0.4,0.8,0.5,0.6,0,0.4,0.9997027184870473,0.4987531172069836,0.570613409415122,0.4987531172069836,0.6419555905790341
24,neutral,7.152557373046875e-06,0.9991955161094666,0.4,0.6,0.25,0.6,0,0.4,0.007891591290682785,0.4987531172069836,0.285306704707561,0.4987531172069836,0.3226761326030528
25,positive,0.0005422234535217,0.998975396156311,0.6,0.8,0.625,0.4,0,0.6,0.008423186959179093,0.7481296758104754,0.7132667617689025,0.7481296758104754,0.5544873250872582
26,neutral,1.7821788787841797e-05,0.9991472959518432,0.4,0.6,0.375,0.6,0,0.4,0.007902191226592426,0.4987531172069836,0.4279600570613415,0.4987531172069836,0.35834212067547533
27,positive,0.9983531646430492,0.9990177154541016,0.6,0.6,0.625,0.4,0,0.6,0.9997534539061063,0.7481296758104754,0.7132667617689025,0.7481296758104754,0.80231989182399
28,negative,0.9903973015025258,0.998643696308136,0.2,0.6,0.625,0.8,0,0.19999999999999996,0.9918492632369941,0.2493765586034918,0.7132667617689025,0.24937655860349175,0.55096728555322
29,neutral,-0.0001792907714843,0.998793363571167,0.6,0.6,0.25,0.4,0,0.6,0.007706358891099866,0.7481296758104754,0.285306704707561,0.7481296758104754,0.4473181038049029
30,neutral,-0.0008078813552856,0.9981256127357484,0.4,0.2,0.5,0.6,0,0.4,0.007081850935216762,0.4987531172069836,0.570613409415122,0.4987531172069836,0.3938003736910765
31,neutral,-9.065866470336914e-05,0.999021053314209,0.6,0.6,0.75,0.4,0,0.6,0.007794415341924572,0.7481296758104754,0.855920114122683,0.7481296758104754,0.5899934702713896
32,positive,0.9980743374326266,0.9990274906158448,0.2,0.6,0.5,0.8,0,0.19999999999999996,0.9994764376482861,0.2493765586034918,0.570613409415122,0.24937655860349175,0.5172107410675979
33,neutral,8.732080459594727e-05,0.9991806149482728,0.2,0.4,0.625,0.8,0,0.19999999999999996,0.007971238853802711,0.2493765586034918,0.7132667617689025,0.24937655860349175,0.3049977794574222
34,negative,0.9979664533166216,0.9983798265457152,0.4,0.6,0.375,0.6,0,0.4,0.999369254227957,0.4987531172069836,0.4279600570613415,0.4987531172069836,0.6062088864258164
35,neutral,9.375810623168944e-05,0.9991576671600342,0.4,0.2,0.375,0.6,0,0.4,0.007977634345859925,0.4987531172069836,0.4279600570613415,0.4987531172069836,0.35836098145529216
36,neutral,-1.5735626220703125e-05,0.9991486072540284,0.6,0.4,0.75,0.4,0,0.6,0.007868851763368248,0.7481296758104754,0.855920114122683,0.7481296758104754,0.5900120793767505
37,neutral,3.5822391510009766e-05,0.9990867376327516,0.2,0.6,0.625,0.8,0,0.19999999999999996,0.007920074917345005,0.2493765586034918,0.7132667617689025,0.24937655860349175,0.30498498847330774
38,neutral,5.716085433959961e-05,0.9991993308067322,0.4,0.6,0.375,0.6,0,0.4,0.007941274789164286,0.4987531172069836,0.4279600570613415,0.4987531172069836,0.35835189156611824
39,negative,0.7832082957029343,0.9985256791114808,0.2,0.2,0.5,0.8,0,0.19999999999999996,0.786005927641855,0.2493765586034918,0.570613409415122,0.24937655860349175,0.46384311356599006
40,neutral,-0.0001083612442016,0.9990296363830566,0.0,0.4,0.25,1.0,0,0.0,0.007776827738767296,0.0,0.285306704707561,0.0,0.07327088311158207
41,neutral,3.892183303833008e-05,0.9989711046218872,0.0,0.6,0.25,1.0,0,0.0,0.007923154228335514,0.0,0.285306704707561,0.0,0.07330746473397412
42,neutral,-4.649162292480469e-05,0.9990652203559875,0.4,0.8,0.25,0.6,0,0.4,0.00783829552353934,0.4987531172069836,0.285306704707561,0.4987531172069836,0.3226628086612669
43,neutral,0.0001173615455627,0.999256670475006,0.4,0.4,0.875,0.6,0,0.4,0.008001084483402997,0.4987531172069836,0.9985734664764635,0.4987531172069836,0.5010201963434584
44,neutral,0.0001522302627563,0.9990189075469972,0.8,0.0,0.375,0.1999999999999999,0,0.8,0.008035726732046233,0.9975062344139672,0.4279600570613415,0.9975062344139672,0.6077520631553306
45,negative,0.9982076292508282,0.9985945820808412,0.8,0.6,0.5,0.1999999999999999,0,0.8,0.9996088637505315,0.9975062344139672,0.570613409415122,0.9975062344139672,0.891308685498397
46,positive,0.9985680023673922,0.9989705085754396,0.4,0.6,0.5,0.6,0,0.4,0.9999668962826442,0.4987531172069836,0.570613409415122,0.4987531172069836,0.6420216350279333
47,neutral,0.0005163550376892,0.9991586208343506,0.4,0.8,0.625,0.6,0,0.4,0.008397486555912163,0.4987531172069836,0.7132667617689025,0.4987531172069836,0.4297926206846955
48,neutral,0.0001590847969055,0.9991331696510316,0.4,0.8,0.625,0.6,0,0.4,0.008042536746736812,0.4987531172069836,0.7132667617689025,0.4987531172069836,0.42970388323240166
49,neutral,0.0005272626876831,0.9991328120231628,0.8,0.8,1.0,0.1999999999999999,0,0.8,0.008408323361898,0.9975062344139672,1.0,0.9975062344139672,0.7508551980474581
50,neutral,-0.0006011128425598,0.9983439445495604,0.4,0.6,0.75,0.6,0,0.4,0.007287276508795188,0.4987531172069836,0.855920114122683,0.4987531172069836,0.46517840626136137
51,neutral,1.6629695892333984e-05,0.9992103576660156,0.2,0.6,0.375,0.8,0,0.19999999999999996,0.007901006876211461,0.2493765586034918,0.4279600570613415,0.24937655860349175,0.23365354528613413
52,positive,0.9986805184744298,0.9990284442901612,0.4,0.6,0.625,0.6,0,0.4,1.0,0.4987531172069836,0.7132667617689025,0.4987531172069836,0.6776932490457174
53,neutral,-2.038478851318359e-05,0.9989235997200012,0.4,0.6,0.625,0.6,0,0.4,0.007864232796882484,0.4987531172069836,0.7132667617689025,0.4987531172069836,0.42965930724493806
54,positive,0.9968697354197502,0.998920202255249,0.4,0.6,0.375,0.6,0,0.4,0.9982796593953177,0.4987531172069836,0.4279600570613415,0.4987531172069836,0.6059364877176566
55,neutral,0.0021486282348632,0.9981222748756408,1.0,0.2,0.5,0.0,0,1.0,0.01001915831504901,1.0,0.570613409415122,1.0,0.6451581419325427
56,positive,0.9983270607772284,0.998840630054474,0.4,0.8,0.5,0.6,0,0.4,0.9997275195820734,0.4987531172069836,0.570613409415122,0.4987531172069836,0.6419617908527906
57,negative,0.9980119549436496,0.998432457447052,0.6,0.4,0.625,0.4,0,0.6,0.9994144603268342,0.7481296758104754,0.7132667617689025,0.7481296758104754,0.8022351434291719
58,positive,0.9980717708240264,0.99847012758255,0.6,0.8,0.5,0.4,0,0.6,0.9994738877095315,0.7481296758104754,0.570613409415122,0.7481296758104754,0.766586662186401
